speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps
50,100,500,stealth,16
70,200,500,stealth,16
90,300,500,stealth,16
100,500,500,stealth,16
50,100,500,spread,16
70,200,500,spread,16
90,300,500,spread,16
100,500,500,spread,16
50,100,700,stealth,16
70,200,700,stealth,16
90,300,700,stealth,16
100,500,700,stealth,16
50,100,700,spread,16
70,200,700,spread,16
90,300,700,spread,16
100,500,700,spread,16
50,100,1000,stealth,16
70,200,1000,stealth,16
90,300,1000,stealth,16
100,500,1000,stealth,16
50,100,1000,spread,16
70,200,1000,spread,16
90,300,1000,spread,16
100,500,1000,spread,16
