speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled,skip_allowed
80,100,900,stealth,16,SUS_900_80_100,1,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,2,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,3,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,4,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,5,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,6,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,7,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,8,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,9,1,20,0,0
80,100,900,stealth,16,SUS_900_80_100,10,1,20,0,0
80,300,900,stealth,16,CHECK_900_80_300,1,1,20,0,0
80,300,900,stealth,16,CHECK_900_80_300,2,1,20,0,0
80,300,900,stealth,16,CHECK_900_80_300,3,1,20,0,0
80,300,900,stealth,16,CHECK_900_80_300,4,1,20,0,0
80,300,900,stealth,16,CHECK_900_80_300,5,1,20,0,0
100,100,900,stealth,16,CHECK_900_100_100,1,1,20,0,0
100,100,900,stealth,16,CHECK_900_100_100,2,1,20,0,0
100,100,900,stealth,16,CHECK_900_100_100,3,1,20,0,0
100,100,900,stealth,16,CHECK_900_100_100,4,1,20,0,0
100,100,900,stealth,16,CHECK_900_100_100,5,1,20,0,0
120,100,900,stealth,16,CHECK_900_120_100,1,1,20,0,0
120,100,900,stealth,16,CHECK_900_120_100,2,1,20,0,0
120,100,900,stealth,16,CHECK_900_120_100,3,1,20,0,0
120,100,900,stealth,16,CHECK_900_120_100,4,1,20,0,0
120,100,900,stealth,16,CHECK_900_120_100,5,1,20,0,0
80,100,700,stealth,16,CHECK_700_80_100,1,1,20,0,0
80,100,700,stealth,16,CHECK_700_80_100,2,1,20,0,0
80,100,700,stealth,16,CHECK_700_80_100,3,1,20,0,0
80,100,700,stealth,16,CHECK_700_80_100,4,1,20,0,0
80,100,700,stealth,16,CHECK_700_80_100,5,1,20,0,0
80,100,800,stealth,16,CHECK_800_80_100,1,1,20,0,0
80,100,800,stealth,16,CHECK_800_80_100,2,1,20,0,0
80,100,800,stealth,16,CHECK_800_80_100,3,1,20,0,0
80,100,800,stealth,16,CHECK_800_80_100,4,1,20,0,0
80,100,800,stealth,16,CHECK_800_80_100,5,1,20,0,0
80,100,1000,stealth,16,CHECK_1000_80_100,1,1,20,0,1
80,100,1000,stealth,16,CHECK_1000_80_100,2,1,20,0,1
80,100,1000,stealth,16,CHECK_1000_80_100,3,1,20,0,1
