speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled
50,100,500,stealth,16,CUR_500_SPD_50_ACC_100,1,1,20,0
50,300,500,stealth,16,CUR_500_SPD_50_ACC_300,1,1,20,0
80,100,500,stealth,16,CUR_500_SPD_80_ACC_100,1,1,20,0
80,300,500,stealth,16,CUR_500_SPD_80_ACC_300,1,1,20,0
100,100,500,stealth,16,CUR_500_SPD_100_ACC_100,1,1,20,0
100,300,500,stealth,16,CUR_500_SPD_100_ACC_300,1,1,20,0
120,100,500,stealth,16,CUR_500_SPD_120_ACC_100,1,1,20,0
120,300,500,stealth,16,CUR_500_SPD_120_ACC_300,1,1,20,0
50,100,700,stealth,16,CUR_700_SPD_50_ACC_100,1,1,20,0
50,300,700,stealth,16,CUR_700_SPD_50_ACC_300,1,1,20,0
80,100,700,stealth,16,CUR_700_SPD_80_ACC_100,1,1,20,0
80,300,700,stealth,16,CUR_700_SPD_80_ACC_300,1,1,20,0
100,100,700,stealth,16,CUR_700_SPD_100_ACC_100,1,1,20,0
100,300,700,stealth,16,CUR_700_SPD_100_ACC_300,1,1,20,0
120,100,700,stealth,16,CUR_700_SPD_120_ACC_100,1,1,20,0
120,300,700,stealth,16,CUR_700_SPD_120_ACC_300,1,1,20,0
50,100,900,stealth,16,CUR_900_SPD_50_ACC_100,1,1,20,0
50,300,900,stealth,16,CUR_900_SPD_50_ACC_300,1,1,20,0
80,100,900,stealth,16,CUR_900_SPD_80_ACC_100,1,1,20,0
80,300,900,stealth,16,CUR_900_SPD_80_ACC_300,1,1,20,0
100,100,900,stealth,16,CUR_900_SPD_100_ACC_100,1,1,20,0
100,300,900,stealth,16,CUR_900_SPD_100_ACC_300,1,1,20,0
120,100,900,stealth,16,CUR_900_SPD_120_ACC_100,1,1,20,0
120,300,900,stealth,16,CUR_900_SPD_120_ACC_300,1,1,20,0
