speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled
50,300,500,stealth,16,A_P1,1,0,NA,0
50,300,500,stealth,16,A_P1,2,0,NA,0
50,300,500,stealth,16,A_P1,3,0,NA,0
50,300,500,stealth,16,A_P1,4,0,NA,0
50,300,500,stealth,16,A_P1,5,0,NA,0
50,300,500,stealth,16,A_P2,1,1,100,0
50,300,500,stealth,16,A_P2,2,1,100,0
50,300,500,stealth,16,A_P2,3,1,100,0
50,300,500,stealth,16,A_P2,4,1,100,0
50,300,500,stealth,16,A_P2,5,1,100,0
50,300,500,stealth,16,A_P3,1,1,20,0
50,300,500,stealth,16,A_P3,2,1,20,0
50,300,500,stealth,16,A_P3,3,1,20,0
50,300,500,stealth,16,A_P3,4,1,20,0
50,300,500,stealth,16,A_P3,5,1,20,0
50,300,500,stealth,16,A_P4,1,1,20,1
50,300,500,stealth,16,A_P4,2,1,20,1
50,300,500,stealth,16,A_P4,3,1,20,1
100,100,500,stealth,16,B_P1,1,0,NA,0
100,100,500,stealth,16,B_P1,2,0,NA,0
100,100,500,stealth,16,B_P1,3,0,NA,0
100,100,500,stealth,16,B_P1,4,0,NA,0
100,100,500,stealth,16,B_P1,5,0,NA,0
100,100,500,stealth,16,B_P2,1,1,100,0
100,100,500,stealth,16,B_P2,2,1,100,0
100,100,500,stealth,16,B_P2,3,1,100,0
100,100,500,stealth,16,B_P2,4,1,100,0
100,100,500,stealth,16,B_P2,5,1,100,0
100,100,500,stealth,16,B_P3,1,1,20,0
100,100,500,stealth,16,B_P3,2,1,20,0
100,100,500,stealth,16,B_P3,3,1,20,0
100,100,500,stealth,16,B_P3,4,1,20,0
100,100,500,stealth,16,B_P3,5,1,20,0
100,100,500,stealth,16,B_P4,1,1,20,1
100,100,500,stealth,16,B_P4,2,1,20,1
100,100,500,stealth,16,B_P4,3,1,20,1
