speed_mm_s,accel_mm_s2,current_ma,chop_mode,microsteps,test_condition_id,repeat_index,sg_enabled,sg_interval_ms,sglog_enabled
10,500,1400,spread,16,VELO_ACC_500_SPD_10,1,1,20,0
50,500,1400,spread,16,VELO_ACC_500_SPD_50,1,1,20,0
100,500,1400,spread,16,VELO_ACC_500_SPD_100,1,1,20,0
150,500,1400,spread,16,VELO_ACC_500_SPD_150,1,1,20,0
200,500,1400,spread,16,VELO_ACC_500_SPD_200,1,1,20,0
250,500,1400,spread,16,VELO_ACC_500_SPD_250,1,1,20,0
300,500,1400,spread,16,VELO_ACC_500_SPD_300,1,1,20,0
350,500,1400,spread,16,VELO_ACC_500_SPD_350,1,1,20,0
400,500,1400,spread,16,VELO_ACC_500_SPD_400,1,1,20,0
450,500,1400,spread,16,VELO_ACC_500_SPD_450,1,1,20,0
500,500,1400,spread,16,VELO_ACC_500_SPD_500,1,1,20,0
10,700,1400,spread,16,VELO_ACC_700_SPD_10,1,1,20,0
50,700,1400,spread,16,VELO_ACC_700_SPD_50,1,1,20,0
100,700,1400,spread,16,VELO_ACC_700_SPD_100,1,1,20,0
150,700,1400,spread,16,VELO_ACC_700_SPD_150,1,1,20,0
200,700,1400,spread,16,VELO_ACC_700_SPD_200,1,1,20,0
250,700,1400,spread,16,VELO_ACC_700_SPD_250,1,1,20,0
300,700,1400,spread,16,VELO_ACC_700_SPD_300,1,1,20,0
350,700,1400,spread,16,VELO_ACC_700_SPD_350,1,1,20,0
400,700,1400,spread,16,VELO_ACC_700_SPD_400,1,1,20,0
450,700,1400,spread,16,VELO_ACC_700_SPD_450,1,1,20,0
500,700,1400,spread,16,VELO_ACC_700_SPD_500,1,1,20,0
10,1000,1400,spread,16,VELO_ACC_1000_SPD_10,1,1,20,0
50,1000,1400,spread,16,VELO_ACC_1000_SPD_50,1,1,20,0
100,1000,1400,spread,16,VELO_ACC_1000_SPD_100,1,1,20,0
150,1000,1400,spread,16,VELO_ACC_1000_SPD_150,1,1,20,0
200,1000,1400,spread,16,VELO_ACC_1000_SPD_200,1,1,20,0
250,1000,1400,spread,16,VELO_ACC_1000_SPD_250,1,1,20,0
300,1000,1400,spread,16,VELO_ACC_1000_SPD_300,1,1,20,0
350,1000,1400,spread,16,VELO_ACC_1000_SPD_350,1,1,20,0
400,1000,1400,spread,16,VELO_ACC_1000_SPD_400,1,1,20,0
450,1000,1400,spread,16,VELO_ACC_1000_SPD_450,1,1,20,0
500,1000,1400,spread,16,VELO_ACC_1000_SPD_500,1,1,20,0
10,1200,1400,spread,16,VELO_ACC_1200_SPD_10,1,1,20,0
50,1200,1400,spread,16,VELO_ACC_1200_SPD_50,1,1,20,0
100,1200,1400,spread,16,VELO_ACC_1200_SPD_100,1,1,20,0
150,1200,1400,spread,16,VELO_ACC_1200_SPD_150,1,1,20,0
200,1200,1400,spread,16,VELO_ACC_1200_SPD_200,1,1,20,0
250,1200,1400,spread,16,VELO_ACC_1200_SPD_250,1,1,20,0
300,1200,1400,spread,16,VELO_ACC_1200_SPD_300,1,1,20,0
350,1200,1400,spread,16,VELO_ACC_1200_SPD_350,1,1,20,0
400,1200,1400,spread,16,VELO_ACC_1200_SPD_400,1,1,20,0
450,1200,1400,spread,16,VELO_ACC_1200_SPD_450,1,1,20,0
500,1200,1400,spread,16,VELO_ACC_1200_SPD_500,1,1,20,0
10,1500,1400,spread,16,VELO_ACC_1500_SPD_10,1,1,20,0
50,1500,1400,spread,16,VELO_ACC_1500_SPD_50,1,1,20,0
100,1500,1400,spread,16,VELO_ACC_1500_SPD_100,1,1,20,0
150,1500,1400,spread,16,VELO_ACC_1500_SPD_150,1,1,20,0
200,1500,1400,spread,16,VELO_ACC_1500_SPD_200,1,1,20,0
250,1500,1400,spread,16,VELO_ACC_1500_SPD_250,1,1,20,0
300,1500,1400,spread,16,VELO_ACC_1500_SPD_300,1,1,20,0
350,1500,1400,spread,16,VELO_ACC_1500_SPD_350,1,1,20,0
400,1500,1400,spread,16,VELO_ACC_1500_SPD_400,1,1,20,0
450,1500,1400,spread,16,VELO_ACC_1500_SPD_450,1,1,20,0
500,1500,1400,spread,16,VELO_ACC_1500_SPD_500,1,1,20,0
10,2000,1400,spread,16,VELO_ACC_2000_SPD_10,1,1,20,0
